Date,Time,Software/Module,User,Type_Log,Interface_Description,Data
2009-05-14,08:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:25:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:25:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:30:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:35:16,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:35:16,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:40:29,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:40:29,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:45:08,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:45:08,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:50:11,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:50:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:55:32,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:55:33,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:00:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:00:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:05:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:05:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:15:01,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:15:01,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:20:12,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:20:12,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:25:48,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:25:49,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:30:11,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:30:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:35:02,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:35:02,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:40:32,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:40:33,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:45:01,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:45:01,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:50:12,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:50:12,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:55:00,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:55:00,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:58:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:58:12,ifinfo,#,IFINFO_IFD_NAME,IFD,extensive
2009-05-14,09:58:12,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:58:13,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:58:13,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:58:14,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:58:15,ifinfo,#,IFINFO_IFD_NAME,IFD,summary
2009-05-14,09:58:15,ifinfo,#,IFINFO_IFD_NAME,IFD,terse
2009-05-14,09:58:19,ifinfo,#,IFINFO_IFD_NAME,IFD,terse
2009-05-14,09:58:19,ifinfo,#,IFINFO_IFD_NAME,IFD,lo#
2009-05-14,09:58:19,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,09:58:20,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,09:58:21,ifinfo,#,IFINFO_IFD_NAME,IFD,descriptions
2009-05-14,09:58:22,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:00:01,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:00:01,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:05:44,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:05:44,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:10:42,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:10:42,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:15:08,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:15:08,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:15:22,ifinfo,#,IFINFO_IFD_NAME,IFD,summary
2009-05-14,10:15:22,ifinfo,#,IFINFO_IFD_NAME,IFD,terse
2009-05-14,10:15:28,ifinfo,#,IFINFO_IFD_NAME,IFD,terse
2009-05-14,10:15:28,ifinfo,#,IFINFO_IFD_NAME,IFD,lo#
2009-05-14,10:15:28,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:15:29,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:15:30,ifinfo,#,IFINFO_IFD_NAME,IFD,descriptions
2009-05-14,10:15:31,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:15:57,ifinfo,#,IFINFO_IFD_NAME,IFD,extensive
2009-05-14,10:15:57,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
